Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Regular price","Sale price",Categories,Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
variable,TVH-001,Capcut Pro,1,1,visible,"Capcut Pro bản quyền giá rẻ","Tài khoản Capcut Pro chính hãng, bảo hành trọn đời",taxable,1,5,,,"Đang Bán Chạy",https://content.pancake.vn/1/s702x1053/fwebp0/13/1a/60/66/6bfe386de212ab2d2d36baf219722399a5996b23e5e5f87eb78cdd49-w:2400-h:3600-l:857912-t:image/png.png,,Gói,"1 Tháng",1,1
variation,TVH-001-1M,Capcut Pro - 1 Tháng,1,0,visible,,,taxable,1,5,60000,,,,TVH-001,Gói,"1 Tháng",1,1
variable,TVH-002,Canva Pro,1,1,visible,"Canva Pro bản quyền","Tài khoản Canva Pro chính hãng",taxable,1,7,,,"Đang Bán Chạy, Thiết Kế",https://content.pancake.vn/1/s702x1053/fwebp0/cf/87/0e/58/77923d59f6e92885f56671d17fc3d9885168822cfbc04acc22f9d236-w:2400-h:3600-l:1401843-t:image/png.png,,Gói,"1 Tháng | 1 Năm",1,1
variation,TVH-002-1M,Canva Pro - 1 Tháng,1,0,visible,,,taxable,1,7,15000,,,,TVH-002,Gói,"1 Tháng",1,1
variation,TVH-002-1Y,Canva Pro - 1 Năm,1,0,visible,,,taxable,1,7,190000,,,,TVH-002,Gói,"1 Năm",1,1
variable,TVH-003,Google One 2TB,1,1,visible,"Google One 2TB","Dung lượng lưu trữ 2TB chính hãng",taxable,1,7,,,"Đang Bán Chạy",https://content.pancake.vn/1/s702x1053/fwebp0/9c/85/95/e2/0643a19ac56e0d0e05e1be20b8eff0793ab1d1a5044d62fb8f95ad78-w:2400-h:3600-l:2758098-t:image/png.png,,Gói,"1 Năm",1,1
variation,TVH-003-1Y,Google One 2TB - 1 Năm,1,0,visible,,,taxable,1,7,250000,,,,TVH-003,Gói,"1 Năm",1,1
variable,TVH-004,iCloud+ 400GB,1,0,visible,"iCloud+ 400GB","iCloud+ 400GB bản quyền",taxable,1,6,,,"Đang Bán Chạy",https://content.pancake.vn/1/s702x1053/fwebp0/be/22/d4/71/fe6d5e791f0a17e99cb0991fee4acbddab3edfa8bae61cdf58e50378-w:2400-h:3600-l:469472-t:image/png.png,,Gói,"1 Năm",1,1
variation,TVH-004-1Y,iCloud+ 400GB - 1 Năm,1,0,visible,,,taxable,1,6,650000,,,,TVH-004,Gói,"1 Năm",1,1
variable,TVH-005,ChatGPT Plus,1,1,visible,"ChatGPT Plus chính chủ","ChatGPT Plus dùng chung hoặc chính chủ",taxable,1,8,,,"Đang Bán Chạy, Trợ Lý AI",https://content.pancake.vn/1/s702x1053/fwebp0/13/ce/96/58/4f93be895e52df7810b3dca33f45664ccc2bcaa559ab4f6f387c62e4-w:2400-h:3600-l:937688-t:image/png.png,,Gói,"1 Tháng",1,1
variation,TVH-005-1M,ChatGPT Plus - 1 Tháng,1,0,visible,,,taxable,1,8,89000,,,,TVH-005,Gói,"1 Tháng",1,1
variable,TVH-006,Google AI Ultra,1,0,visible,"Google AI Ultra","Google AI Ultra bản quyền",taxable,1,6,,,"Trợ Lý AI",https://content.pancake.vn/1/s702x1053/fwebp0/60/9c/1f/be/df80fbd6485921fcd5e21cfec9b102fd87686d1371fd0c39e520fb82-w:2400-h:3600-l:2084072-t:image/png.png,,Gói,"1 Tháng | 3 Tháng | 6 Tháng | 1 Năm",1,1
variation,TVH-006-1M,Google AI Ultra - 1 Tháng,1,0,visible,,,taxable,1,6,650000,,,,TVH-006,Gói,"1 Tháng",1,1
variation,TVH-006-3M,Google AI Ultra - 3 Tháng,1,0,visible,,,taxable,1,6,1799000,,,,TVH-006,Gói,"3 Tháng",1,1
variation,TVH-006-6M,Google AI Ultra - 6 Tháng,1,0,visible,,,taxable,1,6,3299000,,,,TVH-006,Gói,"6 Tháng",1,1
variation,TVH-006-1Y,Google AI Ultra - 1 Năm,1,0,visible,,,taxable,1,6,5999000,,,,TVH-006,Gói,"1 Năm",1,1
variable,TVH-007,Spotify Premium,1,0,visible,"Spotify Premium","Spotify Premium chính hãng",taxable,1,7,,,"Xem Phim - Giải Trí",https://content.pancake.vn/1/s702x1053/fwebp0/2e/c6/b9/8e/03794cc15316b8f068e8197f7d54ca71971fb40f1fdd440ccd865077-w:2400-h:3600-l:510259-t:image/png.png,,Gói,"1 Năm",1,1
variation,TVH-007-1Y,Spotify Premium - 1 Năm,1,0,visible,,,taxable,1,7,399000,,,,TVH-007,Gói,"1 Năm",1,1
variable,TVH-008,Youtube Premium,1,1,visible,"Youtube Premium","Youtube Premium 1 năm",taxable,1,4,,,"Đang Bán Chạy, Xem Phim - Giải Trí",https://content.pancake.vn/1/s702x1053/fwebp0/ca/04/cb/b7/3864eb267345978b394857b0a02aebe0b332027c3ab6e12f318cdc37-w:2400-h:3600-l:463501-t:image/png.png,,Gói,"1 Năm",1,1
variation,TVH-008-1Y,Youtube Premium - 1 Năm,1,0,visible,,,taxable,1,4,599000,,,,TVH-008,Gói,"1 Năm",1,1
variable,TVH-009,Office 365,1,1,visible,"Microsoft Office 365","Office 365 bản quyền",taxable,1,3,,,"Làm Việc",https://content.pancake.vn/1/s702x1053/fwebp0/94/3f/23/69/2ff09c3f77802d794693b54f3930d4ba8a5ebf0a1767bd0d14a86445-w:2400-h:3600-l:2948033-t:image/png.png,,Gói,"1 Năm",1,1
variation,TVH-009-1Y,Office 365 - 1 Năm,1,0,visible,,,taxable,1,3,239000,,,,TVH-009,Gói,"1 Năm",1,1
